id,date,sales,forecast
FOODS_1_218_TX_2_validation,2016-03-28,4,18
FOODS_1_218_TX_2_validation,2016-03-29,6,13
FOODS_1_218_TX_2_validation,2016-03-30,15,21
FOODS_1_218_TX_2_validation,2016-03-31,20,14
FOODS_1_218_TX_2_validation,2016-04-01,31,22
FOODS_1_218_TX_2_validation,2016-04-02,19,9
FOODS_1_218_TX_2_validation,2016-04-03,16,14
FOODS_1_218_TX_2_validation,2016-04-04,10,18
FOODS_1_218_TX_2_validation,2016-04-05,4,13
FOODS_1_218_TX_2_validation,2016-04-06,9,21
FOODS_1_218_TX_2_validation,2016-04-07,8,14
FOODS_1_218_TX_2_validation,2016-04-08,16,22
FOODS_1_218_TX_2_validation,2016-04-09,22,9
FOODS_1_218_TX_2_validation,2016-04-10,14,14
FOODS_1_218_TX_2_validation,2016-04-11,11,18
FOODS_1_218_TX_2_validation,2016-04-12,10,13
FOODS_1_218_TX_2_validation,2016-04-13,8,21
FOODS_1_218_TX_2_validation,2016-04-14,3,14
FOODS_1_218_TX_2_validation,2016-04-15,18,22
FOODS_1_218_TX_2_validation,2016-04-16,19,9
FOODS_1_218_TX_2_validation,2016-04-17,17,14
FOODS_1_218_TX_2_validation,2016-04-18,13,18
FOODS_1_218_TX_2_validation,2016-04-19,13,13
FOODS_1_218_TX_2_validation,2016-04-20,11,21
FOODS_1_218_TX_2_validation,2016-04-21,16,14
FOODS_1_218_TX_2_validation,2016-04-22,9,22
FOODS_1_218_TX_2_validation,2016-04-23,17,9
FOODS_1_218_TX_2_validation,2016-04-24,14,14
FOODS_2_197_CA_1_validation,2016-03-28,26,19
FOODS_2_197_CA_1_validation,2016-03-29,12,9
FOODS_2_197_CA_1_validation,2016-03-30,12,4
FOODS_2_197_CA_1_validation,2016-03-31,9,9
FOODS_2_197_CA_1_validation,2016-04-01,9,16
FOODS_2_197_CA_1_validation,2016-04-02,23,11
FOODS_2_197_CA_1_validation,2016-04-03,25,12
FOODS_2_197_CA_1_validation,2016-04-04,28,19
FOODS_2_197_CA_1_validation,2016-04-05,12,9
FOODS_2_197_CA_1_validation,2016-04-06,23,4
FOODS_2_197_CA_1_validation,2016-04-07,12,9
FOODS_2_197_CA_1_validation,2016-04-08,35,16
FOODS_2_197_CA_1_validation,2016-04-09,37,11
FOODS_2_197_CA_1_validation,2016-04-10,23,12
FOODS_2_197_CA_1_validation,2016-04-11,20,19
FOODS_2_197_CA_1_validation,2016-04-12,40,9
FOODS_2_197_CA_1_validation,2016-04-13,7,4
FOODS_2_197_CA_1_validation,2016-04-14,9,9
FOODS_2_197_CA_1_validation,2016-04-15,9,16
FOODS_2_197_CA_1_validation,2016-04-16,22,11
FOODS_2_197_CA_1_validation,2016-04-17,24,12
FOODS_2_197_CA_1_validation,2016-04-18,21,19
FOODS_2_197_CA_1_validation,2016-04-19,22,9
FOODS_2_197_CA_1_validation,2016-04-20,25,4
FOODS_2_197_CA_1_validation,2016-04-21,11,9
FOODS_2_197_CA_1_validation,2016-04-22,11,16
FOODS_2_197_CA_1_validation,2016-04-23,19,11
FOODS_2_197_CA_1_validation,2016-04-24,33,12
FOODS_2_197_CA_3_validation,2016-03-28,9,12
FOODS_2_197_CA_3_validation,2016-03-29,7,6
FOODS_2_197_CA_3_validation,2016-03-30,7,17
FOODS_2_197_CA_3_validation,2016-03-31,10,8
FOODS_2_197_CA_3_validation,2016-04-01,14,9
FOODS_2_197_CA_3_validation,2016-04-02,14,16
FOODS_2_197_CA_3_validation,2016-04-03,18,8
FOODS_2_197_CA_3_validation,2016-04-04,10,12
FOODS_2_197_CA_3_validation,2016-04-05,13,6
FOODS_2_197_CA_3_validation,2016-04-06,9,17
FOODS_2_197_CA_3_validation,2016-04-07,13,8
FOODS_2_197_CA_3_validation,2016-04-08,7,9
FOODS_2_197_CA_3_validation,2016-04-09,14,16
FOODS_2_197_CA_3_validation,2016-04-10,18,8
FOODS_2_197_CA_3_validation,2016-04-11,12,12
FOODS_2_197_CA_3_validation,2016-04-12,8,6
FOODS_2_197_CA_3_validation,2016-04-13,11,17
FOODS_2_197_CA_3_validation,2016-04-14,7,8
FOODS_2_197_CA_3_validation,2016-04-15,6,9
FOODS_2_197_CA_3_validation,2016-04-16,17,16
FOODS_2_197_CA_3_validation,2016-04-17,14,8
FOODS_2_197_CA_3_validation,2016-04-18,8,12
FOODS_2_197_CA_3_validation,2016-04-19,3,6
FOODS_2_197_CA_3_validation,2016-04-20,3,17
FOODS_2_197_CA_3_validation,2016-04-21,8,8
FOODS_2_197_CA_3_validation,2016-04-22,5,9
FOODS_2_197_CA_3_validation,2016-04-23,19,16
FOODS_2_197_CA_3_validation,2016-04-24,9,8
FOODS_2_276_CA_3_validation,2016-03-28,8,13
FOODS_2_276_CA_3_validation,2016-03-29,11,11
FOODS_2_276_CA_3_validation,2016-03-30,9,7
FOODS_2_276_CA_3_validation,2016-03-31,10,8
FOODS_2_276_CA_3_validation,2016-04-01,7,2
FOODS_2_276_CA_3_validation,2016-04-02,8,5
FOODS_2_276_CA_3_validation,2016-04-03,14,12
FOODS_2_276_CA_3_validation,2016-04-04,12,13
FOODS_2_276_CA_3_validation,2016-04-05,16,11
FOODS_2_276_CA_3_validation,2016-04-06,8,7
FOODS_2_276_CA_3_validation,2016-04-07,5,8
FOODS_2_276_CA_3_validation,2016-04-08,6,2
FOODS_2_276_CA_3_validation,2016-04-09,15,5
FOODS_2_276_CA_3_validation,2016-04-10,15,12
FOODS_2_276_CA_3_validation,2016-04-11,10,13
FOODS_2_276_CA_3_validation,2016-04-12,12,11
FOODS_2_276_CA_3_validation,2016-04-13,4,7
FOODS_2_276_CA_3_validation,2016-04-14,7,8
FOODS_2_276_CA_3_validation,2016-04-15,8,2
FOODS_2_276_CA_3_validation,2016-04-16,8,5
FOODS_2_276_CA_3_validation,2016-04-17,6,12
FOODS_2_276_CA_3_validation,2016-04-18,7,13
FOODS_2_276_CA_3_validation,2016-04-19,9,11
FOODS_2_276_CA_3_validation,2016-04-20,7,7
FOODS_2_276_CA_3_validation,2016-04-21,9,8
FOODS_2_276_CA_3_validation,2016-04-22,5,2
FOODS_2_276_CA_3_validation,2016-04-23,7,5
FOODS_2_276_CA_3_validation,2016-04-24,3,12
FOODS_2_360_CA_3_validation,2016-03-28,18,18
FOODS_2_360_CA_3_validation,2016-03-29,15,33
FOODS_2_360_CA_3_validation,2016-03-30,11,21
FOODS_2_360_CA_3_validation,2016-03-31,14,3
FOODS_2_360_CA_3_validation,2016-04-01,14,18
FOODS_2_360_CA_3_validation,2016-04-02,27,15
FOODS_2_360_CA_3_validation,2016-04-03,7,19
FOODS_2_360_CA_3_validation,2016-04-04,19,18
FOODS_2_360_CA_3_validation,2016-04-05,14,33
FOODS_2_360_CA_3_validation,2016-04-06,42,21
FOODS_2_360_CA_3_validation,2016-04-07,17,3
