id,date,sales,forecast
FOODS_1_218_TX_2_validation,2016-03-28,4,13.16646
FOODS_1_218_TX_2_validation,2016-03-29,6,12.724998
FOODS_1_218_TX_2_validation,2016-03-30,15,12.653083
FOODS_1_218_TX_2_validation,2016-03-31,20,12.431696
FOODS_1_218_TX_2_validation,2016-04-01,31,15.643203
FOODS_1_218_TX_2_validation,2016-04-02,19,15.495011
FOODS_1_218_TX_2_validation,2016-04-03,16,17.979286
FOODS_1_218_TX_2_validation,2016-04-04,10,13.353695
FOODS_1_218_TX_2_validation,2016-04-05,4,14.337723
FOODS_1_218_TX_2_validation,2016-04-06,9,13.956772
FOODS_1_218_TX_2_validation,2016-04-07,8,13.05357
FOODS_1_218_TX_2_validation,2016-04-08,16,13.855894
FOODS_1_218_TX_2_validation,2016-04-09,22,16.563204
FOODS_1_218_TX_2_validation,2016-04-10,14,14.865033
FOODS_1_218_TX_2_validation,2016-04-11,11,14.357228
FOODS_1_218_TX_2_validation,2016-04-12,10,14.0286875
FOODS_1_218_TX_2_validation,2016-04-13,8,14.044151
FOODS_1_218_TX_2_validation,2016-04-14,3,11.444836
FOODS_1_218_TX_2_validation,2016-04-15,18,14.346454
FOODS_1_218_TX_2_validation,2016-04-16,19,14.225042
FOODS_1_218_TX_2_validation,2016-04-17,17,14.130944
FOODS_1_218_TX_2_validation,2016-04-18,13,12.9899235
FOODS_1_218_TX_2_validation,2016-04-19,13,11.397825
FOODS_1_218_TX_2_validation,2016-04-20,11,12.359396
FOODS_1_218_TX_2_validation,2016-04-21,16,11.403754
FOODS_1_218_TX_2_validation,2016-04-22,9,13.174607
FOODS_1_218_TX_2_validation,2016-04-23,17,14.0522375
FOODS_1_218_TX_2_validation,2016-04-24,14,13.974245
FOODS_2_197_CA_1_validation,2016-03-28,26,12.6050005
FOODS_2_197_CA_1_validation,2016-03-29,12,11.086349
FOODS_2_197_CA_1_validation,2016-03-30,12,11.960089
FOODS_2_197_CA_1_validation,2016-03-31,9,10.696192
FOODS_2_197_CA_1_validation,2016-04-01,9,13.968621
FOODS_2_197_CA_1_validation,2016-04-02,23,20.470778
FOODS_2_197_CA_1_validation,2016-04-03,25,22.452866
FOODS_2_197_CA_1_validation,2016-04-04,28,17.055586
FOODS_2_197_CA_1_validation,2016-04-05,12,14.448193
FOODS_2_197_CA_1_validation,2016-04-06,23,14.391866
FOODS_2_197_CA_1_validation,2016-04-07,12,13.826998
FOODS_2_197_CA_1_validation,2016-04-08,35,14.2173395
FOODS_2_197_CA_1_validation,2016-04-09,37,19.434723
FOODS_2_197_CA_1_validation,2016-04-10,23,20.888973
FOODS_2_197_CA_1_validation,2016-04-11,20,13.803938
FOODS_2_197_CA_1_validation,2016-04-12,40,12.313478
FOODS_2_197_CA_1_validation,2016-04-13,7,11.983121
FOODS_2_197_CA_1_validation,2016-04-14,9,11.40372
FOODS_2_197_CA_1_validation,2016-04-15,9,12.882801
FOODS_2_197_CA_1_validation,2016-04-16,22,18.059595
FOODS_2_197_CA_1_validation,2016-04-17,24,18.833166
FOODS_2_197_CA_1_validation,2016-04-18,21,12.876252
FOODS_2_197_CA_1_validation,2016-04-19,22,10.934195
FOODS_2_197_CA_1_validation,2016-04-20,25,11.066699
FOODS_2_197_CA_1_validation,2016-04-21,11,10.878001
FOODS_2_197_CA_1_validation,2016-04-22,11,11.92484
FOODS_2_197_CA_1_validation,2016-04-23,19,16.997519
FOODS_2_197_CA_1_validation,2016-04-24,33,17.25274
FOODS_2_197_CA_3_validation,2016-03-28,9,12.63845
FOODS_2_197_CA_3_validation,2016-03-29,7,11.602346
FOODS_2_197_CA_3_validation,2016-03-30,7,11.67723
FOODS_2_197_CA_3_validation,2016-03-31,10,11.535743
FOODS_2_197_CA_3_validation,2016-04-01,14,13.123776
FOODS_2_197_CA_3_validation,2016-04-02,14,15.838617
FOODS_2_197_CA_3_validation,2016-04-03,18,17.79379
FOODS_2_197_CA_3_validation,2016-04-04,10,14.276407
FOODS_2_197_CA_3_validation,2016-04-05,13,14.177124
FOODS_2_197_CA_3_validation,2016-04-06,9,14.195753
FOODS_2_197_CA_3_validation,2016-04-07,13,13.235292
FOODS_2_197_CA_3_validation,2016-04-08,7,12.978158
FOODS_2_197_CA_3_validation,2016-04-09,14,17.7829
FOODS_2_197_CA_3_validation,2016-04-10,18,17.663696
FOODS_2_197_CA_3_validation,2016-04-11,12,12.832417
FOODS_2_197_CA_3_validation,2016-04-12,8,12.020878
FOODS_2_197_CA_3_validation,2016-04-13,11,11.683075
FOODS_2_197_CA_3_validation,2016-04-14,7,11.593791
FOODS_2_197_CA_3_validation,2016-04-15,6,11.5696745
FOODS_2_197_CA_3_validation,2016-04-16,17,15.158777
FOODS_2_197_CA_3_validation,2016-04-17,14,16.35551
FOODS_2_197_CA_3_validation,2016-04-18,8,13.030668
FOODS_2_197_CA_3_validation,2016-04-19,3,12.208291
FOODS_2_197_CA_3_validation,2016-04-20,3,12.13367
FOODS_2_197_CA_3_validation,2016-04-21,8,11.593791
FOODS_2_197_CA_3_validation,2016-04-22,5,11.5696745
FOODS_2_197_CA_3_validation,2016-04-23,19,15.313457
FOODS_2_197_CA_3_validation,2016-04-24,9,16.056055
FOODS_2_276_CA_3_validation,2016-03-28,8,7.971151
FOODS_2_276_CA_3_validation,2016-03-29,11,7.303529
FOODS_2_276_CA_3_validation,2016-03-30,9,7.1036763
FOODS_2_276_CA_3_validation,2016-03-31,10,7.157713
FOODS_2_276_CA_3_validation,2016-04-01,7,11.067282
FOODS_2_276_CA_3_validation,2016-04-02,8,14.118661
FOODS_2_276_CA_3_validation,2016-04-03,14,15.2246895
FOODS_2_276_CA_3_validation,2016-04-04,12,12.429244
FOODS_2_276_CA_3_validation,2016-04-05,16,11.755116
FOODS_2_276_CA_3_validation,2016-04-06,8,12.26837
FOODS_2_276_CA_3_validation,2016-04-07,5,11.324419
FOODS_2_276_CA_3_validation,2016-04-08,6,11.067282
FOODS_2_276_CA_3_validation,2016-04-09,15,14.353189
FOODS_2_276_CA_3_validation,2016-04-10,15,15.459215
FOODS_2_276_CA_3_validation,2016-04-11,10,10.983033
FOODS_2_276_CA_3_validation,2016-04-12,12,10.160656
FOODS_2_276_CA_3_validation,2016-04-13,4,10.114652
FOODS_2_276_CA_3_validation,2016-04-14,7,9.729959
FOODS_2_276_CA_3_validation,2016-04-15,8,9.705843
FOODS_2_276_CA_3_validation,2016-04-16,8,12.579712
FOODS_2_276_CA_3_validation,2016-04-17,6,13.778191
FOODS_2_276_CA_3_validation,2016-04-18,7,10.945454
FOODS_2_276_CA_3_validation,2016-04-19,9,10.160656
FOODS_2_276_CA_3_validation,2016-04-20,7,9.923225
FOODS_2_276_CA_3_validation,2016-04-21,9,9.69238
FOODS_2_276_CA_3_validation,2016-04-22,5,9.395549
FOODS_2_276_CA_3_validation,2016-04-23,7,12.537849
FOODS_2_276_CA_3_validation,2016-04-24,3,13.698748
FOODS_2_360_CA_3_validation,2016-03-28,18,11.48406
FOODS_2_360_CA_3_validation,2016-03-29,15,10.841597
FOODS_2_360_CA_3_validation,2016-03-30,11,10.82233
FOODS_2_360_CA_3_validation,2016-03-31,14,10.678126
FOODS_2_360_CA_3_validation,2016-04-01,14,18.783464
